Restaurant ID,Country Code,City,Longitude,Latitude,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,Aggregate rating,Rating color,Rating text,Votes
6317637,162,Makati City,121.027535,14.565443,1100,Botswana Pula(P),Yes,No,No,No,3,4.8,Dark Green,Excellent,314
6304287,162,Makati City,121.014101,14.553708,1200,Botswana Pula(P),Yes,No,No,No,3,4.5,Dark Green,Excellent,591
6300002,162,Mandaluyong City,121.056831,14.581404,4000,Botswana Pula(P),Yes,No,No,No,4,4.4,Green,Very Good,270
6318506,162,Mandaluyong City,121.056475,14.585318,1500,Botswana Pula(P),No,No,No,No,4,4.9,Dark Green,Excellent,365
6314302,162,Mandaluyong City,121.057508,14.58445,1500,Botswana Pula(P),Yes,No,No,No,4,4.8,Dark Green,Excellent,229
18189371,162,Mandaluyong City,121.056314,14.583764,1000,Botswana Pula(P),No,No,No,No,3,4.4,Green,Very Good,336
6300781,162,Pasay City,120.9796667,14.53133333,2000,Botswana Pula(P),Yes,No,No,No,4,4,Green,Very Good,520
6301290,162,Pasay City,120.9793333,14.54,2000,Botswana Pula(P),Yes,No,No,No,4,4.2,Green,Very Good,677
6300010,162,Pasay City,120.98009,14.55299,6000,Botswana Pula(P),Yes,No,No,No,4,4.9,Dark Green,Excellent,621
6314987,162,Pasig City,121.056532,14.572041,1100,Botswana Pula(P),Yes,No,No,No,3,4.8,Dark Green,Excellent,532
6309903,162,Pasig City,121.057916,14.567689,800,Botswana Pula(P),No,No,No,No,3,4.9,Dark Green,Excellent,1070
6309455,162,Pasig City,121.06082,14.570849,900,Botswana Pula(P),Yes,No,No,No,3,4.2,Green,Very Good,488
6318433,162,Quezon City,121.075419,14.649503,800,Botswana Pula(P),No,No,No,No,3,4.8,Dark Green,Excellent,294
6310470,162,San Juan City,121.0335917,14.59345,1000,Botswana Pula(P),Yes,No,No,No,3,4.2,Green,Very Good,458
6314605,162,San Juan City,121.03811,14.59889,700,Botswana Pula(P),No,No,No,No,3,4.3,Green,Very Good,223
18185059,162,Santa Rosa,121.05704,14.237082,800,Botswana Pula(P),No,No,No,No,3,3.6,Yellow,Good,29
18182702,162,Santa Rosa,121.0565874,14.23767897,850,Botswana Pula(P),No,No,No,No,3,4,Green,Very Good,72
6318213,162,Tagaytay City,120.951589,14.101834,1200,Botswana Pula(P),Yes,No,No,No,3,4.5,Dark Green,Excellent,211
18255654,162,Taguig City,121.045878,14.55436,600,Botswana Pula(P),No,No,No,No,2,4.5,Dark Green,Excellent,118
6308205,162,Taguig City,121.04622,14.549337,1500,Botswana Pula(P),Yes,No,No,No,4,4.4,Green,Very Good,392
6315438,162,Taguig City,121.053725,14.545858,3000,Botswana Pula(P),Yes,No,No,No,4,4.7,Dark Green,Excellent,535
6310406,162,Taguig City,121.0534998,14.54565535,1800,Botswana Pula(P),Yes,No,No,No,4,4.5,Dark Green,Excellent,618
6600681,30,Brasí_lia,-47.88178889,-15.76414167,55,Brazilian Real(R$),No,No,No,No,2,3,Orange,Average,6
6601005,30,Brasí_lia,-47.88266667,-15.7775,30,Brazilian Real(R$),No,No,No,No,1,3.8,Yellow,Good,9
6600292,30,Brasí_lia,-47.88213611,-15.75747222,45,Brazilian Real(R$),No,No,No,No,2,3.7,Yellow,Good,11
6600441,30,Brasí_lia,-47.88816667,-15.75883333,60,Brazilian Real(R$),No,No,No,No,3,3.8,Yellow,Good,11
6600970,30,Brasí_lia,-47.91566667,-15.83116667,50,Brazilian Real(R$),No,No,No,No,2,3.2,Orange,Average,11
6600379,30,Brasí_lia,-47.91566667,-15.831,80,Brazilian Real(R$),No,No,No,No,3,3.1,Orange,Average,10
6600214,30,Brasí_lia,-47.9075,-15.82,90,Brazilian Real(R$),No,No,No,No,3,3.7,Yellow,Good,8
6601218,30,Brasí_lia,-47.91016667,-15.82733333,200,Brazilian Real(R$),No,No,No,No,4,3.7,Yellow,Good,5
6600060,30,Brasí_lia,-47.89016667,-15.797,30,Brazilian Real(R$),No,No,No,No,1,0,White,Not rated,2
6600083,30,Brasí_lia,-47.92366667,-15.83133333,150,Brazilian Real(R$),No,No,No,No,4,4.1,Green,Very Good,12
6601515,30,Brasí_lia,-48.019,-15.83716667,100,Brazilian Real(R$),No,No,No,No,4,3.1,Orange,Average,9
6601361,30,Brasí_lia,-48.01909167,-15.839775,60,Brazilian Real(R$),No,No,No,No,3,3.6,Yellow,Good,9
6601602,30,Brasí_lia,-48.01666667,-15.83483333,100,Brazilian Real(R$),No,No,No,No,4,4.3,Green,Very Good,29
6601589,30,Brasí_lia,-47.889,-15.7865,230,Brazilian Real(R$),No,No,No,No,4,4.2,Green,Very Good,17
6601862,30,Brasí_lia,-47.872359,-15.860621,100,Brazilian Real(R$),No,No,No,No,4,3.6,Yellow,Good,5
6601595,30,Brasí_lia,-47.95628333,-15.83451389,150,Brazilian Real(R$),No,No,No,No,4,4,Green,Very Good,10
6601158,30,Brasí_lia,-47.87283333,-15.82566667,240,Brazilian Real(R$),No,No,No,No,4,3.2,Orange,Average,6
6600427,30,Brasí_lia,-47.8685,-15.819,230,Brazilian Real(R$),No,No,No,No,4,4.9,Dark Green,Excellent,30
6600116,30,Brasí_lia,-47.885812,-15.720118,350,Brazilian Real(R$),No,No,No,No,4,3.3,Orange,Average,8
6601457,30,Brasí_lia,-47.92102778,-15.79753056,50,Brazilian Real(R$),No,No,No,No,2,3.6,Yellow,Good,9
7303219,30,Rio de Janeiro,-43.377,-23.0115,140,Brazilian Real(R$),No,No,No,No,4,4,Green,Very Good,7
7304307,30,Rio de Janeiro,-43.178826,-22.905293,100,Brazilian Real(R$),No,No,No,No,4,4.8,Dark Green,Excellent,29
7301215,30,Rio de Janeiro,-43.18669167,-22.97207222,60,Brazilian Real(R$),No,No,No,No,3,4.7,Dark Green,Excellent,24
7300596,30,Rio de Janeiro,-43.17583333,-22.96216667,90,Brazilian Real(R$),No,No,No,No,3,4.5,Dark Green,Excellent,29
7300612,30,Rio de Janeiro,-43.176,-22.96516667,170,Brazilian Real(R$),No,No,No,No,4,4.2,Green,Very Good,11
7300704,30,Rio de Janeiro,-43.191,-22.98683333,60,Brazilian Real(R$),No,No,No,No,3,4.8,Dark Green,Excellent,19
7300955,30,Rio de Janeiro,-43.227042,-22.973507,100,Brazilian Real(R$),No,No,No,No,4,4.9,Dark Green,Excellent,40
7300521,30,Rio de Janeiro,-43.211425,-22.98520833,90,Brazilian Real(R$),No,No,No,No,3,4.6,Dark Green,Excellent,21
7300515,30,Rio de Janeiro,-43.203,-22.98533333,120,Brazilian Real(R$),No,No,No,No,4,4.9,Dark Green,Excellent,49
7300483,30,Rio de Janeiro,-43.20520833,-22.98531944,170,Brazilian Real(R$),No,No,No,No,4,4.6,Dark Green,Excellent,21
7301064,30,Rio de Janeiro,-43.219563,-22.966647,90,Brazilian Real(R$),No,No,No,No,3,4.3,Green,Very Good,14
7304312,30,Rio de Janeiro,-43.34879167,-22.99991111,150,Brazilian Real(R$),No,No,No,No,4,4,Green,Very Good,5
7300004,30,Rio de Janeiro,-43.227,-22.98416667,250,Brazilian Real(R$),No,No,No,No,4,4.6,Dark Green,Excellent,25
7300868,30,Rio de Janeiro,-43.22566667,-22.98516667,120,Brazilian Real(R$),No,No,No,No,4,4.4,Green,Very Good,13
7302637,30,Rio de Janeiro,-43.17279167,-22.963925,40,Brazilian Real(R$),No,No,No,No,2,4.2,Green,Very Good,7
7302140,30,Rio de Janeiro,-43.17126389,-22.96337222,250,Brazilian Real(R$),No,No,No,No,4,4.2,Green,Very Good,8
7305048,30,Rio de Janeiro,-43.341164,-22.870413,70,Brazilian Real(R$),No,No,No,No,3,0,White,Not rated,1
7302898,30,Rio de Janeiro,-43.18736944,-22.92481389,300,Brazilian Real(R$),No,No,No,No,4,4.7,Dark Green,Excellent,44
7302859,30,Rio de Janeiro,-43.21551111,-22.91370833,85,Brazilian Real(R$),No,No,No,No,3,4.6,Dark Green,Excellent,24
7301700,30,Rio de Janeiro,-43.16266667,-22.94783333,80,Brazilian Real(R$),No,No,No,No,3,4.3,Green,Very Good,10
6706313,30,Sí£o Paulo,-46.64516667,-23.55066667,250,Brazilian Real(R$),No,No,No,No,4,4.5,Dark Green,Excellent,49
6704326,30,Sí£o Paulo,-46.64633333,-23.559,250,Brazilian Real(R$),No,No,No,No,4,4.4,Green,Very Good,17
6711179,30,Sí£o Paulo,-46.65866667,-23.55616667,70,Brazilian Real(R$),No,No,No,No,3,3.1,Orange,Average,5
6702797,30,Sí£o Paulo,-46.657523,-23.55671,100,Brazilian Real(R$),No,No,No,No,4,4.1,Green,Very Good,15
6700475,30,Sí£o Paulo,-46.666851,-23.581688,300,Brazilian Real(R$),No,No,No,No,4,4.8,Dark Green,Excellent,59
6713413,30,Sí£o Paulo,-46.67511,-23.582135,120,Brazilian Real(R$),No,No,No,No,4,4.6,Dark Green,Excellent,30
6714340,30,Sí£o Paulo,-46.683888,-23.585324,75,Brazilian Real(R$),No,No,No,No,3,3.9,Yellow,Good,5
6710645,30,Sí£o Paulo,-46.67566667,-23.581,55,Brazilian Real(R$),No,No,No,No,2,0,White,Not rated,0
6700402,30,Sí£o Paulo,-46.666041,-23.561568,200,Brazilian Real(R$),No,No,No,No,4,3.4,Orange,Average,73
6700846,30,Sí£o Paulo,-46.657418,-23.571638,120,Brazilian Real(R$),No,No,No,No,4,3.5,Yellow,Good,9
6702159,30,Sí£o Paulo,-46.66983333,-23.5655,300,Brazilian Real(R$),No,No,No,No,4,4.3,Green,Very Good,39
6711666,30,Sí£o Paulo,-46.67133333,-23.59233333,230,Brazilian Real(R$),No,No,No,No,4,3.9,Yellow,Good,12
6701257,30,Sí£o Paulo,-46.68133333,-23.56483333,120,Brazilian Real(R$),No,No,No,No,4,4.3,Green,Very Good,68
6706211,30,Sí£o Paulo,-46.64159444,-23.54664167,150,Brazilian Real(R$),No,No,No,No,4,4.3,Green,Very Good,46
6705858,30,Sí£o Paulo,-46.643425,-23.545163,400,Brazilian Real(R$),No,No,No,No,4,4.4,Green,Very Good,37
6701419,30,Sí£o Paulo,-46.63716667,-23.5995,65,Brazilian Real(R$),No,No,No,No,3,0,White,Not rated,2
6703956,30,Sí£o Paulo,-46.698574,-23.622925,50,Brazilian Real(R$),No,No,No,No,2,0,White,Not rated,2
6709580,30,Sí£o Paulo,-46.581672,-23.486535,100,Brazilian Real(R$),No,No,No,No,4,4.4,Green,Very Good,22
6703176,30,Sí£o Paulo,-46.63566667,-23.58516667,70,Brazilian Real(R$),No,No,No,No,3,4.6,Dark Green,Excellent,58
6713772,30,Sí£o Paulo,-46.746958,-23.609207,120,Brazilian Real(R$),No,No,No,No,4,4.1,Green,Very Good,11
17284404,216,Albany,-84.221535,31.610387,25,Dollar($),No,No,No,No,2,3.3,Orange,Average,35
17284203,216,Albany,-84.207095,31.608743,10,Dollar($),No,No,No,No,1,3.3,Orange,Average,25
17284105,216,Albany,-84.154,31.5772,0,Dollar($),No,No,No,No,1,3.4,Orange,Average,34
17284302,216,Albany,-84.2194,31.6158,0,Dollar($),No,No,No,No,1,3.4,Orange,Average,45
